mw:agnA,885:in compound for agni
mw:aNgI,1497:in compound for aNga
mw:aRU,2442:in compound for aRu
mw:aTarva,3553:in compound for aTarvan
mw:adma,3822:in compound for adman
mw:aDva,4733:in compound for aDvan
mw:anaqud,4840.1:in compound for anaquh
mw:anAtma,5493:in compound for anAtman
mw:aBimuKI,12076:in compound for aBimuKa
mw:aBIkzRa,13022:in compound for aBIkzRam
mw:aByantarI,13220:in compound for aByantara
mw:aByAtma,13412:in compound for aByAtmam
mw:amanI,13810:in compound for amanas
mw:amano,13812:in compound for amanas
mw:amarma,13964:in compound for amarman
mw:amBaH,14572:in compound for amBas
mw:amBo,14578:in compound for amBas
mw:ayaH,14788:in compound for ayas
mw:ayaS,14805:in compound for ayas
mw:ayo,14807:in compound for ayas
mw:araRye,15129:in compound for araRya
mw:araM,15176:in compound for aram
mw:aruz,15508:in compound for arus
mw:arTi,16080:in compound for arTin
mw:aryama,16394:in compound for aryaman
mw:arvAg,16435:in compound for arvAk
mw:arSo,16468:in compound for arSas
mw:alaM,16598:in compound for alam
mw:aSma,19721:in compound for aSman
mw:azwa,20174:in compound for azwan
mw:azwA,20251:in compound for azwan
mw:asac,20557:in compound for asat
mw:asaj,20560:in compound for asat
mw:asad,20575:in compound for asat
mw:asan,20597:in compound for asat
mw:asfk,21155:in compound for asfj
mw:asfg,21164:in compound for asfj
mw:asfN,21173:in compound for asfj
mw:asmat,21497:in compound for asmad
mw:ahaM,21678:in compound for aham
mw:ahaH,21743:in compound for ahar
mw:ahaS,21749:in compound for ahar
mw:AkaRWa,22033:in compound for AkaRWam
mw:AkarRa,22047:in compound for AkarRam
mw:Akalpa,22070:in compound for Akalpam
mw:AkulI,22186:in compound for Akula
mw:AgaRqa,22529:in compound for AgaRqam
mw:Atma,23475:in compound for Atman
mw:Atmane,23700:in compound for Atman
mw:Apat,24869:in compound for Apad
mw:Apo,24921:in compound for Apas
mw:AyuH,25874:in compound for Ayus
mw:Ayur,25880:in compound for Ayus
mw:Ayuz,25897:in compound for Ayus
mw:ArDa,26513:in compound for arDa
mw:Avir,27145:in compound for Avis
mw:Aviz,27157:in compound for Avis
mw:ASIr,27465:in compound for ASis
mw:AhutI,28366:in compound for Ahuti
mw:Izad,29942:in compound for Izat
mw:Izan,29958:in compound for Izat
mw:ukza,30089:in compound for ukzan
mw:uccEH,30262:in compound for uccEs
mw:uccEr,30278:in compound for uccEs
mw:udak,32261:in compound for udac
mw:udag,32275:in compound for udac
mw:udaN,32291:in compound for udac
mw:udBij,33330:in compound for udBid
mw:uparizwAj,35577:in compound for uparizwAt
mw:uparizwAd,35583:in compound for uparizwAt
mw:uparizwAl,35589:in compound for uparizwAt
mw:upasat,36095:in compound for upasad
mw:upAnad,36703:in compound for upAnah
mw:uBayata,37095:in compound for uBayatas
mw:uBayataH,37098:in compound for uBayatas
mw:uBayataS,37114:in compound for uBayatas
mw:uBayato,37118:in compound for uBayatas
mw:uBayA,37140:in compound for uBaya
mw:uBA,37151:in compound for uBa
mw:uraH,37252:in compound for uras
mw:uraS,37262:in compound for uras
mw:urasi,37267:in compound for uras
mw:uro,37279:in compound for uras
mw:uzaH,37699:in compound for uzas
mw:uzar,37713:in compound for uzas
mw:uzAsA,37744:in compound for uzas
mw:uzo,37748:in compound for uzas
mw:uzRI,37823:in compound for uzRa
mw:uzma,37841:in compound for uzman
mw:uzRig,37904:in compound for uzRih
mw:Uzma,38355:in compound for Uzman
mw:ftI,38544:in compound for fti
mw:ftvik,38617:in compound for ftvij
mw:fjU,38830:in compound for fju
mw:fdU,38927:in compound for fdu
mw:fDaN,38952:in compound for fDak
mw:ekAdaSa,39787:in compound for ekAdaSan
mw:ekI,39965:in compound for eka
mw:etaj,40060:in compound for etad
mw:etat,40062:in compound for etad
mw:eno,40124:in compound for enas
mw:ojo,40646:in compound for ojas
mw:kakudmi,41436:in compound for kakudmin
mw:kakut,41446:in compound for kakud
mw:kakun,41460:in compound for kakud
mw:kakup,41473:in compound for kakuB
mw:kakub,41476:in compound for kakuB
mw:kakzI,41570:in compound for kakza
mw:kaRwaki,42433:in compound for kaRwakin
mw:kaTaM,42764:in compound for kaTam
mw:kat,42855:in compound for kad
mw:kal,42861:in compound for kad
mw:kari,44302:in compound for karin
